URL,address,announce_ID,description,latitude,longitude,neighborhood,realty_info,realty_type,street,title,Price_BRL,Price_1000BRL,Dormitorios,Banheiros,Area_m_2,Vagas_Garagem,City
https://www.brognoli.com.br/imovel/comprar-casa-35840/,"['das', 'Piraúnas,484', 'JURERÊ-INTERNACIONAL,-FLORIANÓPOLIS/SC']",cod. C6-35840,"['Casa de 4 suítes em Jurerê Internacional, região nobre, segura e tranquila, a poucos metros da charmosa praia de Jurerê Internacional e do Open Shopping. Residência edificada com 2 pavimentos sobre um terreno de 450m² de esquina com lateral para uma alameda, tendo no piso térreo ampla sala de estar com lareira, cozinha com móveis planejados e bancada de granito integrada à copa com lareira, mesa de granito com 8 cadeiras, armário para louças, varanda com churrasqueira, bancada de granito e pia, despensa/dependência de empregada, 1 suíte com closet, lavabo, 1 vaga de garagem coberta e 2 descobertas; no segundo pavimento, 3 amplas suítes, sendo 1 suíte master com closet e hidromassagem,  todas com armários planejados, sala de estar íntimo/TV, banheiro social. Construção de alta qualidade com projeto peculiar com amplo jardim e espaço para estacionamento de mais veículos. Desocupada! Maiores informações e contato para visitas com a corretora Lourdes Inês Bianchi através do telefone  55 48 99983 0539 ou pelo e-mail lurdinhavendasbrognoli@gmail.com']",-27.4433488,-48.4961274,JURERÊ-INTERNACIONAL,"['4 Dormitórios', '6 Banheiros', '263.62 m²', '3 Vagas']",Casa,"['das', 'Piraúnas,484']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],1350000.0,1350.0,4.0,6.0,263.62,3,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-36204/,"['do', 'Kalifa,521', 'CANASVIEIRAS,-FLORIANÓPOLIS/SC']",cod. C6-36204,"['Casa com 7 quartos em Canasvieiras , sendo todos suítes, 8 banheiros, ampla cozinha com armários planejados integrada à área com churrasqueira, ampla sala de estar/convivência com recepção, área de serviço, varanda, vagas para estacionamento, terreno com 420m² de esquina, na quadra do mar, a poucos metros da linda Praia de Canasvieiras,  imediações do Hotel Canasvieiras Internacional, próximo a todo tipo de comércio e serviço, ônibus. I em frente. Atualmente existe um Hostel em funcionamento no imóvel, com excelente taxa de ocupação, com toda infra estrutura e instalações, com móveis nos quartos e demais dependências. Maiores informações e contato para visitas com a corretora Lourdes Inês Bianchi pelo telefone  55 48 99983 0539 ou pelo e-mail lurdinhavendasbrognoli@gmail.com.']",-27.4282036,-48.45248549999999,CANASVIEIRAS,"['8 Banheiros', '6 Vagas']",Casa,"['do', 'Kalifa,521']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],1200000.0,1200.0,,8.0,,6,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-36188/,"['João', 'Celestino', 'Pacheco,100', 'TRINDADE,-FLORIANÓPOLIS/SC']",cod. C6-36188,"['Casa de 5 quartos na Trindade, em região nobre, entre a Lauro Linhares e a Beira Mar, em rua sem saída. Terreno com 276m² com edificação simples, precisando de reparos com 3 quartos, sala, cozinha e banheiro; Edícula integrada à casa com 2 quartos e 1 banheiro. Região valorizada, com todo tipo de comércio e serviço nas imediações e ônibus a poucos metros. Acesso fácil para a UFSC, Shopping Iguatemi e Beira Mar. Maiores informações e contato para visitas com a corretora Lourdes Inês Bianchi pelo telefone  55 48 99983 0539 ou pelo e-mail lurdinhavendasbrognoli@gmail.com']",-27.582572,-48.5251561,TRINDADE,"['5 Dormitórios', '2 Banheiros', '100 m²', '1 Vaga']",Casa,"['João', 'Celestino', 'Pacheco,100']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],370000.0,370.0,5.0,2.0,100.0,1,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-36184/,"['Europa,395', 'TRINDADE,-FLORIANÓPOLIS/SC']",cod. C31-36184,"['Casa na TRINDADE  com 4 dormitórios, sendo duas suítes, sala de TV,  lavabo, cozinha  e  área de serviço, aconchegante copa com sacada fechada com linda vista para o o bairro, muito verde e tranquilidade. \nEspaço para festas com ótima área para crianças, com espaço gourmet, fogão de ilha, chopeira profissional, churrasqueira estilo argentina, home cinema com projetor HDMI externo,  home theather profissional, e ampla sacada com linda vista da Trindade , Beira Mar e Shopping Iguatemi.\nCasa mobiliada, com móveis planejados de excelente qualidade, 7 ar condicionados splits inverter, cozinhas  com eletrodomésticos embutidos .\nConstrução diferenciada, com cabeamento estruturado, com entrada de HDMI em todos ambientes, central telefônica com ramais em todos os ambientes, roteadores em todos os andares,  aquecimento solar com back-up a gás e elétrico.\nLocalização privilegiada, rua sem saída, próximo a UFSC, Shopping Iguatemi e todas as conveniências do bairro.\nAceita-se imóveis de menor valor na negociação.\nMaiores informações e contato para visitas com a corretora Elisiane Mello de Oliveira, no telefone/whats app  55(48)99621-8074, ou pelo e-mail: elisianevendasbrognoli@gmail.com']",-27.5872011,-48.5278697,TRINDADE,"['4 Dormitórios', '4 Banheiros', '315.79 m²', '4 Vagas']",Casa,"['Europa,395']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],1090000.0,1090.0,4.0,4.0,315.79,4,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-24377/,"['Doutor', 'Heitor', 'Blum,536', 'ESTREITO,-FLORIANÓPOLIS/SC']",cod. C48-24377,"['Terreno de esquina, em excelente localização, próximo a Policlínica (Heitor Blum), com 658m², com viabilidade para construção, ótimo para comercial e residencial.  Existe sobre terreno 3 edificações antigas. Maiores informações e contato para visitas com o corretor Hélio Júnior, no telefone   55 (48) 9963-2067, ou pelo e-mail: junior@brognoli.com.br']",-27.590576,-48.5804515,ESTREITO,[],Casa,"['Doutor', 'Heitor', 'Blum,536']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],675000.0,675.0,,,,,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-35457/,"['Laércio', 'Costa,297', 'TRINDADE,-FLORIANÓPOLIS/SC']",cod. C9-35457,"['Casa de 02 pavimentos na Trindade próximo á UFSC, linda casa sendo cozinha com armários, 01 bwc social, sala com 03 ambientes, 04 dormitórios , 2ºbwc social. Pavimento inferior:  Espaço gourmet churrasqueira e fogão á lenha bwc, lavanderia e escritório mais um pátio. Garagem para 02 carros, ótima localização na Trindade.Maiores informações e contato para visitas com o corretor Douglas Rodrigues Lobo, no telefone  55(48)99961-2134, ou pelo e-mail: douglasvendasbrognoli@gmail.com']",-27.5903656,-48.5268615,TRINDADE,"['4 Dormitórios', '3 Banheiros', '170 m²', '2 Vagas']",Casa,"['Laércio', 'Costa,297']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],650000.0,650.0,4.0,3.0,170.0,2,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-35913/,"['Rua', 'Maria', 'Julia', 'Franco,265', 'PRAINHA,-FLORIANÓPOLIS/SC']",cod. C12-35913,"['Casa com vista para o mar no José Mendes. Casa de 2 pavimentos com 4 quartos,sendo 2 suítes, banheiro social, ampla cozinha com dispensa,sala de estar e sala intima, amplo terraço com vista panorâmica para a ponte  e o mar.Garagem para 3 carros cobertos. Edicula com quarto e banheiro.Terreno com diversas arvores frutíferas. Maiores informações com Katiuscia Castro, contato 48 999 835 530 ou e-mail katiusciavendasbrognoli@gmail.com']",-27.60918,-48.548128,PRAINHA,"['4 Dormitórios', '4 Banheiros', '140 m²', '3 Vagas']",Casa,"['Rua', 'Maria', 'Julia', 'Franco,265']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],499000.0,499.0,4.0,4.0,140.0,3,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-35930/,"['Eduardo', 'Nader,235', 'BOM-ABRIGO,-FLORIANÓPOLIS/SC']",cod. C31-35930,"['CASA RESIDENCIAL 3 dormitórios com suíte ( suíte com banheira e aquecimento a gás), lavabo, duas salas amplas, garagem fechada para dois carros. dependência de empregada completa e espaço com churrasqueira.\nLocalizada num dos bairros mais charmosos e pitorescos do Continente.\nDistante apenas 6 km do Centro, o Bom Abrigo é dono de uma das mais bonitas vistas panorâmicas da Baía Sul e da orla sul metropolitana.\nAo longo da Rua João Meireles, que serve de acesso ao bairro e às demais localidades vizinhas, existe um pequeno comércio com mercado, bares, farmácia e padaria.\nElisiane Mello de Oliveira, no telefone/zap  55(48)9621-8074, ou pelo e-mail: elisianevendasbrognoli@gmail.com']",-27.6142718,-48.5956932,BOM-ABRIGO,"['3 Dormitórios', '4 Banheiros', '192.73 m²', '4 Vagas']",Casa,"['Eduardo', 'Nader,235']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],680000.0,680.0,3.0,4.0,192.73,4,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-36207/,"[',', 'CARIANOS,-FLORIANÓPOLIS/SC']",cod. C12-36207,"['Casa de alto padrão no Carianos.Casa com 219 m² de área construída, terreno de 364m² sendo 2 pavimentos.\nPrimeiro pavimento com ampla sala com pé direito duplo e lareira, sala de janta integrada com a cozinha, área de serviço independente e com moveis planejado, lavabo e espaço goumert com churrasqueira e sala de televisão.\nSegundo pavimento com 4 quartos, sendo uma suite com closet e sacada.\nFino acabamento, escada com travertino, piso porcelanato, água quente, aberturas com isolamento acústico e persianas integradas e automatizadas. Garagem para 2 carros cobertos e 2 descobertos. Maiores informações e contato com Katiuscia Castro (48) 999 835 530 ou pelo e-mail katiusciavendasbrognoli@gmail.com.']",-27.662146,-48.5374815,CARIANOS,"['4 Dormitórios', '3 Banheiros', '219.74 m²', '4 Vagas']",Casa,"[',']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],1100000.0,1100.0,4.0,3.0,219.74,4,FLORIANÓPOLIS/SC
https://www.brognoli.com.br/imovel/comprar-casa-36023-2/,"['Professor', 'Bayer', 'Filho,558', 'COQUEIROS,-FLORIANÓPOLIS/SC']",cod. C6-36023,"['Casa Linda, estilo funcional, mobiliada, 2 pisos, quitada, averbada 96m²  de área construida sobre um terreno de 360m² plano e gramado. Casa possui  2 suítes, Sala de jantar, ampla cozinha com armários planejados, area de serviço, hall de entrada, reformada.  Todo Sistema de aquecimento a gás é novo de alta pressão com mono-comando e elétrico, ar-condicionados novos em todos ambientes. Cerca elétrica e sistema antifurto. Localizada a 5 minutos do Centro, próximo ao park de coqueiros, via gastronômica, UDESC e ao comércio em geral. Desocupada! Proximo as vias de acesso norte e sul e planalto do Estado.  Maiores informações e contato para visitas com a corretora Lourdes INês Bianchi através do telefone  55 48 99983 0539 ou pelo e-mail lurdinhavendasbrognoli@gmail.com']",-27.604623,-48.58222199999999,COQUEIROS,"['2 Dormitórios', '2 Banheiros', '98.94 m²']",Casa,"['Professor', 'Bayer', 'Filho,558']",['Brognoli Imóveis: Locação e Venda de Imóveis em Florianópolis e Região'],790000.0,790.0,2.0,2.0,98.94,,FLORIANÓPOLIS/SC
